ws             	date       	time    	  hr	 rdy	 bsy	  rd	  wr	  ka	 log	 dns	 cls	mwas	mwgt
webhost010 	Nov-03-2017	16:34:52	  16	  73	   2	   0	   1	   1	   0	   0	   0	   1	   0
webhost010 	Nov-03-2017	16:39:52	  16	  72	   3	   0	   0	   3	   0	   0	   0	   0	   0
webhost010 	Nov-03-2017	16:44:52	  16	  73	   2	   0	   0	   2	   0	   0	   0	   0	   0
webhost010 	Nov-03-2017	16:49:52	  16	  74	   1	   0	   0	   1	   0	   0	   0	   0	   0
webhost010 	Nov-03-2017	16:54:52	  16	  74	   1	   0	   0	   1	   0	   0	   0	   0	   0
webhost010 	Nov-03-2017	16:59:52	  16	  70	   5	   0	   0	   5	   0	   0	   0	   0	   0
webhost010 	Nov-03-2017	17:04:52	  17	  74	   1	   0	   1	   0	   0	   0	   0	   1	   0
webhost010 	Nov-03-2017	17:14:52	  17	  67	   8	   6	   0	   2	   0	   0	   0	   0	   0
webhost010 	Nov-03-2017	17:44:52	  17	  74	   1	   0	   0	   0	   0	   0	   1	   0	   0
webhost010 	Nov-03-2017	20:39:54	  20	  74	   1	   0	   0	   1	   0	   0	   0	   0	   0
webhost010 	Nov-03-2017	20:44:54	  20	  74	   1	   0	   0	   1	   0	   0	   0	   0	   0
webhost010 	Nov-03-2017	20:49:54	  20	  74	   1	   0	   1	   0	   0	   0	   0	   1	   0
webhost010 	Nov-03-2017	20:54:54	  20	  74	   1	   0	   0	   1	   0	   0	   0	   0	   0
webhost010 	Nov-03-2017	20:59:54	  20	  74	   1	   0	   1	   0	   0	   0	   0	   1	   0
webhost010 	Nov-03-2017	21:04:54	  21	  74	   1	   0	   0	   1	   0	   0	   0	   0	   0
webhost010 	Nov-03-2017	21:09:54	  21	  70	   5	   5	   0	   0	   0	   0	   0	   0	   0
webhost010 	Nov-03-2017	21:19:54	  21	  74	   1	   0	   0	   1	   0	   0	   0	   0	   0
webhost010 	Nov-03-2017	21:24:54	  21	  74	   1	   0	   0	   1	   0	   0	   0	   0	   0
webhost010 	Nov-03-2017	21:29:55	  21	  74	   1	   0	   1	   0	   0	   0	   0	   1	   0
webhost010 	Nov-03-2017	21:34:55	  21	  74	   1	   0	   0	   1	   0	   0	   0	   0	   0
webhost020 	Nov-03-2017	06:54:53	  06	  72	   3	   0	   1	   2	   0	   0	   0	   1	   0
webhost020 	Nov-03-2017	07:09:53	  07	  74	   1	   0	   0	   1	   0	   0	   0	   0	   0
webhost020 	Nov-03-2017	07:14:53	  07	  74	   1	   0	   0	   1	   0	   0	   0	   0	   0
webhost020 	Nov-03-2017	07:19:53	  07	  73	   2	   0	   1	   1	   0	   0	   0	   1	   0
webhost020 	Nov-03-2017	07:24:53	  07	  74	   1	   0	   0	   1	   0	   0	   0	   0	   0
webhost020 	Nov-03-2017	07:44:53	  07	  69	   6	   5	   0	   1	   0	   0	   0	   0	   0
webhost020 	Nov-03-2017	07:49:53	  07	  74	   1	   0	   0	   1	   0	   0	   0	   0	   0
webhost020 	Nov-03-2017	07:59:53	  07	  66	   9	   5	   0	   4	   0	   0	   0	   0	   0
webhost020 	Nov-03-2017	08:04:53	  08	  73	   2	   0	   1	   1	   0	   0	   0	   1	   0
webhost020 	Nov-03-2017	08:09:53	  08	  67	   8	   0	   0	   8	   0	   0	   0	   0	   0
webhost020 	Nov-03-2017	08:14:53	  08	  71	   4	   0	   1	   3	   0	   0	   0	   1	   0
webhost020 	Nov-03-2017	08:19:53	  08	  72	   3	   0	   2	   1	   0	   0	   0	   2	   0
webhost020 	Nov-03-2017	08:24:54	  08	  67	   8	   0	   1	   7	   0	   0	   0	   1	   0
webhost020 	Nov-03-2017	08:29:54	  08	  70	   5	   0	   1	   4	   0	   0	   0	   1	   0
webhost020 	Nov-03-2017	08:34:54	  08	  57	  18	   5	   3	  10	   0	   0	   0	   3	   0
webhost020 	Nov-03-2017	08:39:54	  08	  51	  24	  10	   1	  13	   0	   0	   0	   1	   0
webhost020 	Nov-03-2017	08:44:54	  08	  48	  27	  15	   3	   9	   0	   0	   0	   3	   0
webhost020 	Nov-03-2017	08:49:54	  08	  36	  39	  10	   3	  26	   0	   0	   0	   3	   0
webhost020 	Nov-03-2017	08:54:54	  08	  42	  33	  10	   2	  21	   0	   0	   0	   2	   0
webhost020 	Nov-03-2017	08:59:54	  08	  57	  43	  22	   3	  18	   0	   0	   0	   3	   0
webhost020 	Nov-03-2017	09:04:54	  09	  31	  69	  30	   3	  36	   0	   0	   0	   3	   0
webhost020 	Nov-03-2017	09:09:54	  09	  36	  39	  16	   5	  18	   0	   0	   0	   3	   2
webhost020 	Nov-03-2017	09:14:54	  09	  56	  44	  14	   1	  29	   0	   0	   0	   1	   0
webhost020 	Nov-03-2017	09:19:54	  09	  39	  61	  25	   0	  36	   0	   0	   0	   0	   0
webhost020 	Nov-03-2017	09:24:54	  09	  51	  49	  23	   2	  24	   0	   0	   0	   1	   1
webhost020 	Nov-03-2017	09:29:54	  09	  41	  59	  34	   3	  22	   0	   0	   0	   3	   0
webhost020 	Nov-03-2017	09:34:54	  09	  72	  28	   6	   0	  22	   0	   0	   0	   0	   0
webhost020 	Nov-03-2017	09:39:54	  09	  44	  61	  30	   3	  28	   0	   0	   0	   3	   0
webhost020 	Nov-03-2017	09:44:54	  09	  68	  32	  11	   1	  19	   0	   0	   1	   1	   0
webhost020 	Nov-03-2017	09:49:54	  09	  34	  72	  45	   3	  24	   0	   0	   0	   3	   0
webhost020 	Nov-03-2017	09:54:54	  09	  62	  38	  10	   2	  26	   0	   0	   0	   2	   0
webhost020 	Nov-03-2017	09:59:54	  09	  71	  29	   5	   7	  17	   0	   0	   0	   7	   0
webhost020 	Nov-03-2017	10:04:54	  10	  43	  32	  10	   2	  20	   0	   0	   0	   2	   0
webhost020 	Nov-03-2017	10:09:54	  10	  54	  21	   5	   2	  14	   0	   0	   0	   2	   0
webhost020 	Nov-03-2017	10:14:55	  10	  61	  39	  15	   3	  21	   0	   0	   0	   3	   0
webhost020 	Nov-03-2017	10:19:55	  10	  58	  42	  22	   4	  16	   0	   0	   0	   3	   1
webhost020 	Nov-03-2017	10:24:55	  10	  58	  42	  20	   6	  16	   0	   0	   0	   6	   0
webhost020 	Nov-03-2017	10:29:55	  10	  58	  21	   5	   3	  13	   0	   0	   0	   3	   0
webhost020 	Nov-03-2017	10:34:55	  10	  57	  24	   6	   4	  14	   0	   0	   0	   0	   4
webhost020 	Nov-03-2017	10:39:55	  10	  47	  28	  11	   2	  15	   0	   0	   0	   2	   0
webhost020 	Nov-03-2017	10:44:55	  10	  49	  26	   5	   2	  19	   0	   0	   0	   2	   0
webhost020 	Nov-03-2017	10:49:55	  10	  37	  38	   9	   5	  24	   0	   0	   0	   5	   0
webhost020 	Nov-03-2017	10:54:55	  10	  60	  41	  10	   4	  27	   0	   0	   0	   4	   0
webhost020 	Nov-03-2017	10:59:55	  10	  61	  39	  16	   2	  21	   0	   0	   0	   2	   0
webhost020 	Nov-03-2017	11:04:55	  11	  35	  40	  17	   4	  19	   0	   0	   0	   4	   0
webhost020 	Nov-03-2017	11:09:55	  11	  28	  47	  27	   2	  18	   0	   0	   0	   2	   0
webhost020 	Nov-03-2017	11:14:55	  11	  53	  48	  25	   2	  21	   0	   0	   0	   1	   1
webhost020 	Nov-03-2017	11:19:55	  11	  68	  32	  10	   8	  14	   0	   0	   0	   3	   5
webhost020 	Nov-03-2017	11:24:55	  11	  54	  46	  17	   4	  25	   0	   0	   0	   4	   0
webhost020 	Nov-03-2017	11:29:55	  11	  57	  43	  17	   6	  19	   0	   0	   1	   6	   0
webhost020 	Nov-03-2017	11:34:55	  11	  68	  35	   7	   7	  21	   0	   0	   0	   7	   0
webhost020 	Nov-03-2017	11:39:55	  11	  53	  47	  20	   0	  27	   0	   0	   0	   0	   0
webhost020 	Nov-03-2017	11:44:55	  11	  53	  47	  21	   2	  24	   0	   0	   0	   2	   0
webhost020 	Nov-03-2017	11:49:55	  11	  57	  44	  20	   4	  20	   0	   0	   0	   4	   0
webhost020 	Nov-03-2017	11:54:55	  11	  74	  26	  12	   1	  13	   0	   0	   0	   1	   0
webhost020 	Nov-03-2017	11:59:55	  11	  57	  43	  21	   4	  18	   0	   0	   0	   3	   1
webhost020 	Nov-03-2017	12:04:55	  12	  53	  22	   6	   3	  13	   0	   0	   0	   3	   0
webhost020 	Nov-03-2017	12:09:56	  12	  44	  31	   8	   3	  20	   0	   0	   0	   3	   0
webhost020 	Nov-03-2017	12:14:56	  12	  32	  43	  17	   2	  24	   0	   0	   0	   1	   1
webhost020 	Nov-03-2017	12:19:56	  12	  30	  47	  23	   4	  20	   0	   0	   0	   4	   0
webhost020 	Nov-03-2017	12:24:56	  12	  52	  23	   5	   1	  17	   0	   0	   0	   1	   0
webhost020 	Nov-03-2017	12:29:56	  12	  56	  19	   6	   3	  10	   0	   0	   0	   3	   0
webhost020 	Nov-03-2017	12:34:56	  12	  59	  16	   5	   0	  11	   0	   0	   0	   0	   0
webhost020 	Nov-03-2017	12:39:56	  12	  61	  14	   5	   0	   9	   0	   0	   0	   0	   0
webhost020 	Nov-03-2017	12:44:56	  12	  61	  14	   6	   0	   8	   0	   0	   0	   0	   0
webhost020 	Nov-03-2017	12:49:56	  12	  61	  14	   2	   1	  11	   0	   0	   0	   1	   0
webhost020 	Nov-03-2017	12:54:56	  12	  58	  17	   7	   1	   9	   0	   0	   0	   1	   0
webhost020 	Nov-03-2017	12:59:56	  12	  59	  16	   7	   2	   7	   0	   0	   0	   2	   0
webhost020 	Nov-03-2017	13:04:56	  13	  56	  19	   7	   0	  12	   0	   0	   0	   0	   0
webhost020 	Nov-03-2017	13:09:56	  13	  47	  28	  16	   0	  12	   0	   0	   0	   0	   0
webhost020 	Nov-03-2017	13:14:56	  13	  54	  21	  10	   0	  11	   0	   0	   0	   0	   0
webhost020 	Nov-03-2017	13:19:56	  13	  52	  23	  15	   0	   8	   0	   0	   0	   0	   0
webhost020 	Nov-03-2017	13:24:56	  13	  54	  21	   9	   1	  11	   0	   0	   0	   1	   0
webhost020 	Nov-03-2017	13:29:56	  13	  51	  24	  15	   1	   8	   0	   0	   0	   1	   0
webhost020 	Nov-03-2017	13:34:56	  13	  42	  33	  16	   2	  15	   0	   0	   0	   1	   1
webhost020 	Nov-03-2017	13:39:56	  13	  57	  43	  16	   2	  25	   0	   0	   0	   2	   0
webhost020 	Nov-03-2017	13:44:56	  13	  51	  49	  24	   1	  24	   0	   0	   0	   1	   0
webhost020 	Nov-03-2017	13:49:56	  13	  54	  46	  16	   1	  29	   0	   0	   0	   1	   0
webhost020 	Nov-03-2017	13:54:56	  13	  71	  29	   5	   3	  21	   0	   0	   0	   3	   0
webhost020 	Nov-03-2017	13:59:57	  13	  56	  44	  22	   2	  20	   0	   0	   0	   2	   0
webhost020 	Nov-03-2017	14:04:57	  14	  61	  39	  12	   2	  25	   0	   0	   0	   1	   1
webhost020 	Nov-03-2017	14:09:57	  14	  75	  25	   7	   1	  17	   0	   0	   0	   1	   0
webhost020 	Nov-03-2017	14:14:57	  14	  52	  23	   7	   2	  14	   0	   0	   0	   2	   0
webhost020 	Nov-03-2017	14:19:57	  14	  69	  31	   6	   2	  23	   0	   0	   0	   2	   0
webhost020 	Nov-03-2017	14:24:57	  14	  61	  39	  15	   5	  19	   0	   0	   0	   5	   0
webhost020 	Nov-03-2017	14:29:57	  14	  51	  24	   5	   1	  18	   0	   0	   0	   1	   0
webhost020 	Nov-03-2017	14:34:57	  14	  56	  45	  27	   4	  13	   0	   0	   1	   4	   0
webhost020 	Nov-03-2017	14:39:57	  14	  32	  43	  26	   2	  15	   0	   0	   0	   2	   0
webhost020 	Nov-03-2017	14:44:57	  14	  47	  28	   9	   4	  15	   0	   0	   0	   4	   0
webhost020 	Nov-03-2017	14:49:57	  14	  65	  39	  12	   3	  24	   0	   0	   0	   3	   0
webhost020 	Nov-03-2017	14:54:57	  14	  40	  60	  37	   4	  19	   0	   0	   0	   4	   0
webhost020 	Nov-03-2017	14:59:57	  14	  58	  42	  16	   2	  24	   0	   0	   0	   2	   0
webhost020 	Nov-03-2017	15:04:57	  15	  38	  37	  22	   3	  12	   0	   0	   0	   3	   0
webhost020 	Nov-03-2017	15:09:57	  15	  52	  23	  11	   3	   9	   0	   0	   0	   3	   0
webhost020 	Nov-03-2017	15:14:57	  15	  59	  19	   8	   1	  10	   0	   0	   0	   1	   0
webhost020 	Nov-03-2017	15:19:57	  15	  43	  32	   9	   3	  20	   0	   0	   0	   3	   0
webhost020 	Nov-03-2017	15:24:57	  15	  29	  46	  22	   2	  22	   0	   0	   0	   2	   0
webhost020 	Nov-03-2017	15:29:57	  15	  36	  65	  42	   4	  19	   0	   0	   0	   4	   0
webhost020 	Nov-03-2017	15:34:57	  15	  48	  29	  11	   4	  14	   0	   0	   0	   4	   0
webhost020 	Nov-03-2017	15:39:57	  15	  40	  37	  11	   7	  19	   0	   0	   0	   6	   1
webhost020 	Nov-03-2017	15:44:57	  15	  51	  50	  21	   5	  24	   0	   0	   0	   5	   0
webhost020 	Nov-03-2017	15:49:58	  15	  45	  30	  11	   3	  16	   0	   0	   0	   3	   0
webhost020 	Nov-03-2017	15:54:58	  15	  56	  44	  22	   0	  22	   0	   0	   0	   0	   0
webhost020 	Nov-03-2017	15:59:58	  15	  56	  19	   5	   3	  11	   0	   0	   0	   3	   0
webhost020 	Nov-03-2017	16:04:58	  16	  34	  41	  21	   5	  15	   0	   0	   0	   5	   0
